"service","messageFamily","albumIdentifier","category","categoryLabel","originRelease","finalPublicationRelease","effectiveSourceRelease","originBaseMessage","originBasis","priorFamilyBaseMessage","finalBaseMessage","originUGVersion","finalUGVersion","baseVersionChanged","ugVersionChanged","xsdStructureChanged","totalDelta","delta_pathsAdded","delta_pathsRemoved","delta_pathsChanged","delta_simpleTypesAdded","delta_simpleTypesRemoved","delta_simpleTypesChanged","delta_complexTypesAdded","delta_complexTypesRemoved","delta_complexTypesChanged","matchedCRs","crRationale","priorLocalArchiveStatus","priorLocalArchiveLatestRelease","priorLocalArchiveEvidence","priorLocalArchiveCount","mystandardsHistoryStatus","mystandardsHistoryType","mystandardsHistoryEvidence","mystandardsHistoryCount","effectiveNote"
"RTGS","head.001.001","RTGS_BusinessApplicationHeader","carried_forward","Carried forward from JUN, still effective","R2026.JUN","","R2026.JUN","head.001.001.04","R2026.JUN package","","head.001.001.04","3","3","False","False","False","0","0","0","0","0","0","0","0","0","0","","No NOV package was published for this service/variant; the JUN package remains effective.","","","","0","","","","0","No NOV package was published for this service/variant; the JUN package remains effective."
"T2S","camt.025.001","camt.025_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","camt.025.001.07","R2026.JUN package","","camt.025.001.09","1","2","True","True","True","15","2","1","3","0","0","0","4","3","1","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","camt.052.001","camt.052_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","camt.052.001.12","R2026.JUN package","","camt.052.001.14","1","1","True","False","True","16","0","0","4","2","2","0","2","2","3","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","camt.053.001","camt.053_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","camt.053.001.12","R2026.JUN package","","camt.053.001.14","1","1","True","False","True","46","4","3","11","3","2","0","10","9","3","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","camt.054.001","camt.054_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","camt.054.001.12","R2026.JUN package","","camt.054.001.14","1","1","True","False","True","41","4","3","9","2","1","0","10","9","2","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","semt.002.001","semt.002_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","semt.002.001.11","R2026.JUN package","","semt.002.001.12","1","4","True","True","True","27","0","0","9","0","1","0","5","7","4","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","semt.013.001","semt.013_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","semt.013.001.06","R2026.JUN package","","semt.013.001.07","1","2","True","True","True","8","0","0","2","0","0","0","2","2","1","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","semt.014.001","semt.014_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","semt.014.001.07","R2026.JUN package","","semt.014.001.09","1","1","True","False","True","51","0","0","16","4","4","0","12","12","2","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","semt.015.001","semt.015_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","semt.015.001.09","R2026.JUN package","","semt.015.001.10","1","2","True","True","True","8","0","0","2","0","0","0","2","2","1","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
"T2S","semt.016.001","semt.016_T2S","iso_version_changed","ISO version changed","R2026.JUN","R2026.NOV","R2026.NOV","semt.016.001.09","R2026.JUN package","","semt.016.001.10","1","2","True","True","True","14","0","0","4","0","0","0","4","4","1","T2S-0859-SYS(11); T2S-0843-SYS(6); T2S-0854-SYS(6); T2S-0798-URD(2)","T2S-0859-SYS: release match; message/schema CR cue; ISO/MR 2026 cue | T2S-0843-SYS: release match; message/schema CR cue | T2S-0854-SYS: release match; message/schema CR cue | T2S-0798-URD: release match","","","","0","","","","0","The ISO 20022 base message version changes."
